Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SAMEA2630384	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-03	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-03-1pos_1-A,7_01_24248	msdata/LTI225-03-1pos_1-A,7_01_24248.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630384	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-03	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-03-2pos_1-B,3_01_24252	msdata/LTI225-03-2pos_1-B,3_01_24252.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630384	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-03	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-03-3pos_1-C,8_01_24267	msdata/LTI225-03-3pos_1-C,8_01_24267.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630401	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-15	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-15-1pos_1-A,5_01_24503	msdata/LTI225-15-1pos_1-A,5_01_24503.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630401	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-15	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-15-2pos_1-E,6_01_24591	msdata/LTI225-15-2pos_1-E,6_01_24591.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630401	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-15	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-15-3pos_1-C,4_01_24518	msdata/LTI225-15-3pos_1-C,4_01_24518.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630402	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-27	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-27-1pos_1-B,7_01_24411	msdata/LTI225-27-1pos_1-B,7_01_24411.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630402	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-27	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-27-2pos_1-A,1_01_24397	msdata/LTI225-27-2pos_1-A,1_01_24397.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630402	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-27	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-27-3pos_1-C,5_01_24417	msdata/LTI225-27-3pos_1-C,5_01_24417.mzData	Data transformation	N/A		Metabolite identification	N/A	
SAMEA2630423	Extraction	200 µL methanol/water, 30/70 (v/v)	none	LTI225-39	Chromatography	ACQUITY UPLC Systems with 2D Technology	MS	http://purl.obolibrary.org/obo/MS_1001765	HSS T3	RP 18	N/A	N/A			Mass spectrometry	positive	100-1000	micrOTOF-Q	MS	http://purl.obolibrary.org/obo/MS_1000703	ESI	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	LTI225-39-1pos_1-F,1_01_24284	msdata/LTI225-39-1pos_1-F,1_01_24284.mzData	Data transformation	N/A		Metabolite identification	N/A	
